strain	segment	accession	originating_lab	date
B/Ecuador/NIC-0217-5650/2024	HA	EPI_ISL_19108745	Instituto_Nacional_de_Investigacion_en_Salud_Publica_(INSPI)	2024-03-13
B/Ecuador/GSB-1171-1496/2023	HA	EPI_ISL_18933098	Instituto_Nacional_de_Investigacion_en_Salud_Publica_INSPI	2023-12-22
B/Ecuador/9768/2023	HA	EPI_ISL_16830670	INSPI	2023-01-09
B/Ecuador/4157/2023	HA	EPI_ISL_16830704	INSPI	2023-01-08
B/Ecuador/1135/2023	HA	EPI_ISL_16830713	INSPI	2023-01-09
B/Ecuador/140/2023	HA	EPI_ISL_16830681	INSPI	2023-01-07
B/Ecuador/5408/2023	HA	EPI_ISL_18991610	INSPI	2023-12-10
B/Ecuador/5450/2023	HA	EPI_ISL_18991613	INSPI	2023-12-20
B/Ecuador/5527/2024	HA	EPI_ISL_18991612	INSPI	2024-01-13
B/Peru/LIM-UPCH-4545/2024	HA	EPI_ISL_19413806	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-07-09
B/Peru/LIM-UPCH-4599/2024	HA	EPI_ISL_19413816	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-07-25
B/Peru/LIM-UPCH-4709/2024	HA	EPI_ISL_19463992	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-06
B/Peru/UPCH_3871/2023	HA	EPI_ISL_17735452	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-02-10
B/Peru/LIM-UPCH-4722/2024	HA	EPI_ISL_19614271	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-12
B/Peru/UPCH_3869/2023	HA	EPI_ISL_17735450	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-01-30
B/Peru/UPCH_3870/2023	HA	EPI_ISL_17735451	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-02-01
B/Peru/472/2023	HA	EPI_ISL_18092034	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-03-18
B/Peru/UPCH_3865/2023	HA	EPI_ISL_17735448	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-01-17
B/Peru/UPCH_3863/2023	HA	EPI_ISL_17735447	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-01-05
B/Peru/LIM-UPCH-4704/2024	HA	EPI_ISL_19463986	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-04
B/Peru/UPCH_3860/2023	HA	EPI_ISL_17735444	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-01-09
B/Peru/LIM-UPCH-4706/2024	HA	EPI_ISL_19463989	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-09
B/Peru/LIM-UPCH-4707/2024	HA	EPI_ISL_19463990	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-05
